,0,1,2,3
Fortaleza,-0.75,1.15,5.0,-0.15
‘,0.03749999999999999,0.36250000000000004,5.0,0.007499999999999998
Privacidade,0.011363636363636354,2.2295454545454545,5.0,0.002272727272727271
PODCASTS,0.0,0.0,5.0,0.0
TOP GLOBO,1.5,3.0,5.0,0.3
Poltica,0.011363636363636354,2.2295454545454545,5.0,0.002272727272727271
Poltica de Privacidade,0.011363636363636354,2.2295454545454545,5.0,0.002272727272727271
Série B,-0.6708333333333333,0.9874999999999999,5.0,-0.13416666666666666
Informamos,0.011363636363636354,2.2295454545454545,5.0,0.002272727272727271
Ce ol oteXeel,0.0,0.0,5.0,0.0
Bragantino,-0.1,1.0,5.0,-0.02
Britney Spears,0.9222222222222223,1.6111111111111112,5.0,0.18444444444444447
Cruzeiro,-0.08333333333333334,0.41666666666666663,6.0,-0.01388888888888889
Valor,0.0,0.0,6.0,0.0
Principios,0.0,0.0,6.0,0.0
Gerson,-0.38181818181818183,2.4272727272727272,6.0,-0.06363636363636364
SHOW,0.0,0.0,6.0,0.0
Brasileirao,1.75,1.5,6.0,0.2916666666666667
Covaxin,-0.4000000000000001,0.6,7.0,-0.057142857142857155
Lazaro,-0.5,0.4,9.0,-0.05555555555555555
EUA,1.0931818181818183,1.5772727272727272,11.0,0.09938016528925621
Bolsonaro,0.0,0.0,11.0,0.0
R$,0.7454545454545454,1.6515151515151516,12.0,0.06212121212121211
Brasil,1.2666666666666666,2.166666666666667,14.0,0.09047619047619047
Covid,-0.25,1.7333333333333334,15.0,-0.016666666666666666
