,0,1,2,3
EUA,0.0,0.1,5.0,0.0
Homem,-1.440909090909091,2.609469696969697,5.0,-0.2881818181818182
Marca,0.2590909090909091,1.009469696969697,5.0,0.05181818181818182
OFF,0.6666666666666666,0.4833333333333333,5.0,0.13333333333333333
Nao,0.42878787878787883,1.0681818181818181,5.0,0.08575757575757577
CONSORCIO,0.0,0.0,5.0,0.0
Guedes,0.30492424242424243,1.2291666666666667,6.0,0.05082070707070707
Governo,0.634090909090909,1.3136363636363637,6.0,0.10568181818181817
Consércio,1.6,1.5,6.0,0.26666666666666666
Affair de Eduardo Costa,0.0,0.0,6.0,0.0
ESPORTE,0.425,0.85,7.0,0.060714285714285714
IG,0.16666666666666666,0.3333333333333333,8.0,0.020833333333333332
Covaxin,0.7,1.05,9.0,0.07777777777777778
RS,0.2,0.6,9.0,0.022222222222222223
Contetido,1.2333333333333334,1.175,9.0,0.13703703703703704
STF,0.13636363636363635,0.45454545454545453,9.0,0.01515151515151515
VEJA,2.0,2.0,10.0,0.2
Lazaro,0.03727272727272726,2.5367424242424246,11.0,0.0033884297520661148
Globo,0.3386363636363636,3.4621212121212124,12.0,0.028219696969696968
Neymar,0.6506565656565657,2.232070707070707,12.0,0.054221380471380476
Brasil,0.8852272727272728,1.384090909090909,13.0,0.06809440559440559
Embracon,0.0,0.0,14.0,0.0
Bolsonaro,-0.7250000000000001,2.45,17.0,-0.04264705882352942
Veja,8.542045454545454,10.456818181818182,20.0,0.4271022727272727
R$,1.4236111111111112,4.752777777777778,40.0,0.035590277777777776
