,0,1,2,3
Acompanhe,0.4191919191919191,1.1944444444444444,9.0,0.04657687991021323
Corinthians,-1.4083333333333334,2.7833333333333337,9.0,-0.1564814814814815
Bolsonaro,0.13636363636363635,0.45454545454545453,9.0,0.01515151515151515
Grémio,0.803030303030303,2.371212121212121,10.0,0.08030303030303029
Génesis,0.35714285714285715,0.5714285714285714,10.0,0.03571428571428571
Sao Paulo,-0.16363636363636347,1.921212121212121,10.0,-0.016363636363636348
HA,0.375,0.75,11.0,0.03409090909090909
HA3,0.0,0.0,11.0,0.0
©,0.17265624999999998,1.4083333333333332,11.0,0.015696022727272725
SP,-0.03898989898989902,1.1511111111111112,12.0,-0.0032491582491582516
DIGITAL,0.0,0.0,12.0,0.0
Confira,0.6666666666666667,2.4333333333333336,13.0,0.05128205128205129
R$,0.16038961038961033,1.7120129870129872,13.0,0.012337662337662333
GD,0.0,0.0,13.0,0.0
Lazaro,-0.65,1.1,14.0,-0.04642857142857143
HA4,0.0,0.0,14.0,0.0
EUA,-0.22542929292929295,3.262550505050505,16.0,-0.01408933080808081
Covaxin,-0.06363636363636366,2.2,16.0,-0.003977272727272729
Veja,1.26017316017316,2.675974025974026,16.0,0.0787608225108225
HORAS,1.075,1.95,17.0,0.06323529411764706
HA 36,0.05000000000000002,0.5,18.0,0.0027777777777777788
HA2,0.0,0.30000000000000004,18.0,0.0
PUBLICIDADE,0.125,0.15,26.0,0.004807692307692308
Brasil,0.43988095238095243,4.152380952380953,27.0,0.01629188712522046
JRNATV,-0.37499999999999994,0.7722222222222224,44.0,-0.008522727272727272
