,0,1,2,3
Ricardo Salles,1.0,1.0,5.0,0.2
Sao Paulo,-0.2,0.4,5.0,-0.04
PUBLICIDADE,0.0,0.0,5.0,0.0
BRASIL,0.1275,0.36249999999999993,5.0,0.025500000000000002
Google,0.0,0.1,5.0,0.0
Brasileiro,0.3,0.9,5.0,0.06
Camara,0.10555555555555556,2.4444444444444446,5.0,0.021111111111111112
Poy,0.0,0.0,5.0,0.0
Terra,-0.1875,1.1625,5.0,-0.0375
Beet,0.0,0.0,6.0,0.0
Luis Miranda,-0.3500000000000001,1.8888888888888888,6.0,-0.05833333333333335
Covid-19,0.40909090909090906,1.7636363636363637,7.0,0.05844155844155844
SP,0.7681818181818181,1.2772727272727273,8.0,0.09602272727272726
Miranda,0.0,1.0,8.0,0.0
OFF,0.1275,0.36249999999999993,9.0,0.014166666666666668
MUNDO,0.15,0.275,9.0,0.016666666666666666
Covid,1.0846428571428572,1.9839285714285715,12.0,0.09038690476190477
TECNOLOGIA,-0.14444444444444443,0.8944444444444445,14.0,-0.010317460317460317
Covaxin,-0.8,1.4,16.0,-0.05
R$,1.0,1.0,17.0,0.058823529411764705
Istoé,0.0,0.0,17.0,0.0
EUA,0.5115909090909091,3.651136363636364,22.0,0.023254132231404958
Brasil,1.328232323232323,4.945959595959595,32.0,0.04150726010101009
Bolsonaro,-0.3999999999999999,3.7,33.0,-0.012121212121212118
B,0.04444444444444445,0.586111111111111,63.0,0.000705467372134039
